"qname","qtype","dimension","ecode","value","rescaled_value","identity"
"Q758_5","association","business",41.9465678492437,78,0.78,"adult"
"Q758_5","association","business",46.570440877129,90,0.9,"adult"
"Q758_5","association","business",16.1789553866673,86,0.86,"adult"
"Q758_5","association","business",19.9593024861438,30,0.3,"adult"
"Q758_5","association","business",21.4620945338304,92,0.92,"adult"
"Q758_5","association","business",18.690694542064,22,0.22,"adult"
"Q758_5","association","business",23.157884419234,6,0.06,"adult"
"Q758_5","association","business",20.7439652429297,57,0.57,"adult"
"Q758_6","association","education",34.100279099797,6,0.06,"adult"
"Q758_6","association","education",48.2676862853737,48,0.48,"adult"
"Q758_6","association","education",54.0849649885402,72,0.72,"adult"
"Q758_6","association","education",41.646975005429,85,0.85,"adult"
"Q758_6","association","education",44.582744440898,41,0.41,"adult"
"Q758_6","association","education",21.0537053381684,52,0.52,"adult"
"Q758_6","association","education",18.0546397164126,22,0.22,"adult"
"Q758_6","association","education",37.3213952040117,51,0.51,"adult"
"Q758_6","association","education",41.9465678492437,78,0.78,"adult"
"Q758_6","association","education",46.570440877129,90,0.9,"adult"
"Q758_6","association","education",16.1789553866673,60,0.6,"adult"
"Q758_6","association","education",19.9593024861438,49,0.49,"adult"
"Q758_6","association","education",21.4620945338304,54,0.54,"adult"
"Q758_6","association","education",18.690694542064,6,0.06,"adult"
"Q758_6","association","education",23.157884419234,11,0.11,"adult"
"Q758_6","association","education",20.7439652429297,51,0.51,"adult"
"Q758_7","association","religion",34.100279099797,1,0.01,"adult"
"Q758_7","association","religion",48.2676862853737,77,0.77,"adult"
"Q758_7","association","religion",54.0849649885402,53,0.53,"adult"
"Q758_7","association","religion",41.646975005429,51,0.51,"adult"
"Q758_7","association","religion",44.582744440898,40,0.4,"adult"
"Q758_7","association","religion",21.0537053381684,11,0.11,"adult"
"Q758_7","association","religion",18.0546397164126,11,0.11,"adult"
"Q758_7","association","religion",37.3213952040117,26,0.26,"adult"
"Q758_7","association","religion",41.9465678492437,78,0.78,"adult"
"Q758_7","association","religion",46.570440877129,52,0.52,"adult"
"Q758_7","association","religion",16.1789553866673,74,0.74,"adult"
"Q758_7","association","religion",19.9593024861438,31,0.31,"adult"
"Q758_7","association","religion",21.4620945338304,35,0.35,"adult"
"Q758_7","association","religion",18.690694542064,49,0.49,"adult"
"Q758_7","association","religion",23.157884419234,0,0,"adult"
"Q758_7","association","religion",20.7439652429297,99,0.99,"adult"
"Q415_1","affective","evaluation",32.8707873266821,1.3,0.651162790697674,"american"
"Q415_1","affective","evaluation",25.2463613318387,1.9,0.720930232558139,"american"
"Q415_1","affective","evaluation",17.9462104816796,1.9,0.720930232558139,"american"
"Q415_1","affective","evaluation",18.2336313927624,2.1,0.744186046511628,"american"
"Q415_1","affective","evaluation",24.2886919866523,4,0.965116279069768,"american"
"Q415_1","affective","evaluation",30.4853382970871,2,0.732558139534884,"american"
"Q415_1","affective","evaluation",14.9325859218213,-1.9,0.27906976744186,"american"
"Q415_1","affective","evaluation",31.1225014995137,1.9,0.720930232558139,"american"
"Q415_1","affective","evaluation",13.8136433457987,2.5,0.790697674418605,"american"
"Q415_1","affective","evaluation",46.7644503113731,0.1,0.511627906976744,"american"
"Q415_1","affective","evaluation",33.7979914994906,0,0.5,"american"
"Q415_1","affective","evaluation",21.388737075587,3,0.848837209302326,"american"
"Q415_1","affective","evaluation",22.2218611189681,2.9,0.837209302325581,"american"
"Q415_1","affective","evaluation",21.6094286513071,2,0.732558139534884,"american"
"Q415_1","affective","evaluation",48.2741470235107,3.6,0.918604651162791,"american"
"Q415_1","affective","evaluation",20.3722193537681,0,0.5,"american"
"Q415_1","affective","evaluation",39.6191313121512,2.9,0.837209302325581,"american"
"Q415_1","affective","evaluation",21.1789208902463,1,0.616279069767442,"american"
"Q415_1","affective","evaluation",28.8955877083111,1.6,0.686046511627907,"american"
"Q415_1","affective","evaluation",24.6031844801277,1.1,0.627906976744186,"american"
"Q415_1","affective","evaluation",44.1260714109815,-1.5,0.325581395348837,"american"
"Q415_1","affective","evaluation",10.658856751085,0,0.5,"american"
"Q415_1","affective","evaluation",18.690694542064,1.9,0.720930232558139,"american"
"Q415_1","affective","evaluation",20.7483141275002,-1.1,0.372093023255814,"american"
"Q415_1","affective","evaluation",22.6054485485902,-0.1,0.488372093023256,"american"
"Q416_1","affective","potency",32.8707873266821,2.4,0.77906976744186,"american"
"Q416_1","affective","potency",25.2463613318387,1.9,0.720930232558139,"american"
"Q416_1","affective","potency",17.9462104816796,1.9,0.720930232558139,"american"
"Q416_1","affective","potency",18.2336313927624,1.9,0.720930232558139,"american"
"Q416_1","affective","potency",24.2886919866523,4,0.965116279069768,"american"
"Q416_1","affective","potency",30.4853382970871,1.6,0.686046511627907,"american"
"Q416_1","affective","potency",14.9325859218213,0.7,0.581395348837209,"american"
"Q416_1","affective","potency",31.1225014995137,2,0.732558139534884,"american"
"Q416_1","affective","potency",13.8136433457987,2.9,0.837209302325581,"american"
"Q416_1","affective","potency",46.7644503113731,0.1,0.511627906976744,"american"
"Q416_1","affective","potency",33.7979914994906,0.9,0.604651162790698,"american"
"Q416_1","affective","potency",21.388737075587,0.9,0.604651162790698,"american"
"Q416_1","affective","potency",22.2218611189681,1.5,0.674418604651163,"american"
"Q416_1","affective","potency",21.6094286513071,1.9,0.720930232558139,"american"
"Q416_1","affective","potency",48.2741470235107,2.9,0.837209302325581,"american"
"Q416_1","affective","potency",20.3722193537681,2,0.732558139534884,"american"
"Q416_1","affective","potency",39.6191313121512,2,0.732558139534884,"american"
"Q416_1","affective","potency",21.1789208902463,0.9,0.604651162790698,"american"
"Q416_1","affective","potency",28.8955877083111,2.3,0.767441860465116,"american"
"Q416_1","affective","potency",24.6031844801277,1.5,0.674418604651163,"american"
"Q416_1","affective","potency",44.1260714109815,1.1,0.627906976744186,"american"
"Q416_1","affective","potency",10.658856751085,1.9,0.720930232558139,"american"
"Q416_1","affective","potency",18.690694542064,1.4,0.662790697674419,"american"
"Q416_1","affective","potency",20.7483141275002,0.1,0.511627906976744,"american"
"Q416_1","affective","potency",22.6054485485902,0.3,0.534883720930233,"american"
"Q417_1","affective","activity",32.8707873266821,-1,0.383720930232558,"american"
"Q417_1","affective","activity",25.2463613318387,2.9,0.837209302325581,"american"
"Q417_1","affective","activity",17.9462104816796,2,0.732558139534884,"american"
"Q417_1","affective","activity",18.2336313927624,1.9,0.720930232558139,"american"
"Q417_1","affective","activity",24.2886919866523,4,0.965116279069768,"american"
"Q417_1","affective","activity",30.4853382970871,1.9,0.720930232558139,"american"
"Q417_1","affective","activity",14.9325859218213,-1.2,0.36046511627907,"american"
"Q417_1","affective","activity",31.1225014995137,3,0.848837209302326,"american"
"Q417_1","affective","activity",13.8136433457987,3.1,0.86046511627907,"american"
"Q417_1","affective","activity",46.7644503113731,0.1,0.511627906976744,"american"
"Q417_1","affective","activity",33.7979914994906,0,0.5,"american"
"Q417_1","affective","activity",21.388737075587,2,0.732558139534884,"american"
"Q417_1","affective","activity",22.2218611189681,0.6,0.569767441860465,"american"
"Q417_1","affective","activity",21.6094286513071,2,0.732558139534884,"american"
"Q417_1","affective","activity",48.2741470235107,1.9,0.720930232558139,"american"
"Q417_1","affective","activity",20.3722193537681,3,0.848837209302326,"american"
"Q417_1","affective","activity",39.6191313121512,2,0.732558139534884,"american"
"Q417_1","affective","activity",21.1789208902463,1.3,0.651162790697674,"american"
"Q417_1","affective","activity",28.8955877083111,3.2,0.872093023255814,"american"
"Q417_1","affective","activity",24.6031844801277,2.5,0.790697674418605,"american"
"Q417_1","affective","activity",44.1260714109815,1.4,0.662790697674419,"american"
"Q417_1","affective","activity",10.658856751085,0.9,0.604651162790698,"american"
"Q417_1","affective","activity",18.690694542064,1.3,0.651162790697674,"american"
"Q417_1","affective","activity",20.7483141275002,0.1,0.511627906976744,"american"
"Q417_1","affective","activity",22.6054485485902,1.9,0.720930232558139,"american"
"Q418_1","trait","age",32.8707873266821,26.6,0.266,"american"
"Q418_1","trait","age",25.2463613318387,35.1,0.351,"american"
"Q418_1","trait","age",17.9462104816796,48.7,0.487,"american"
"Q418_1","trait","age",18.2336313927624,50.3,0.503,"american"
"Q418_1","trait","age",24.2886919866523,27.2,0.272,"american"
"Q418_1","trait","age",30.4853382970871,37.3,0.373,"american"
"Q418_1","trait","age",14.9325859218213,43.8,0.438,"american"
"Q418_1","trait","age",31.1225014995137,39.4,0.394,"american"
"Q418_1","trait","age",13.8136433457987,50.3,0.503,"american"
"Q418_1","trait","age",46.7644503113731,50.3,0.503,"american"
"Q418_1","trait","age",33.7979914994906,59.3,0.593,"american"
"Q418_1","trait","age",21.388737075587,40,0.4,"american"
"Q418_1","trait","age",22.2218611189681,47.2,0.472,"american"
"Q418_1","trait","age",21.6094286513071,50.3,0.503,"american"
"Q418_1","trait","age",48.2741470235107,50.3,0.503,"american"
"Q418_1","trait","age",20.3722193537681,44.5,0.445,"american"
"Q418_1","trait","age",39.6191313121512,49.6,0.496,"american"
"Q418_1","trait","age",21.1789208902463,50,0.5,"american"
"Q418_1","trait","age",28.8955877083111,50.4,0.504,"american"
"Q418_1","trait","age",24.6031844801277,44.9,0.449,"american"
"Q418_1","trait","age",44.1260714109815,41.8,0.418,"american"
"Q418_1","trait","age",10.658856751085,49.3,0.493,"american"
"Q418_1","trait","age",18.690694542064,41.1,0.411,"american"
"Q418_1","trait","age",20.7483141275002,39.9,0.399,"american"
"Q418_1","trait","age",22.6054485485902,49.2,0.492,"american"
"Q419_1","trait","gender",32.8707873266821,0,0.5,"american"
"Q419_1","trait","gender",25.2463613318387,0,0.5,"american"
"Q419_1","trait","gender",17.9462104816796,0,0.5,"american"
"Q419_1","trait","gender",18.2336313927624,0,0.5,"american"
"Q419_1","trait","gender",24.2886919866523,0,0.5,"american"
"Q419_1","trait","gender",30.4853382970871,0,0.5,"american"
"Q419_1","trait","gender",14.9325859218213,0,0.5,"american"
"Q419_1","trait","gender",31.1225014995137,0,0.5,"american"
"Q419_1","trait","gender",13.8136433457987,0,0.5,"american"
"Q419_1","trait","gender",46.7644503113731,0,0.5,"american"
"Q419_1","trait","gender",33.7979914994906,0,0.5,"american"
"Q419_1","trait","gender",21.388737075587,0,0.5,"american"
"Q419_1","trait","gender",22.2218611189681,0,0.5,"american"
"Q419_1","trait","gender",21.6094286513071,0,0.5,"american"
"Q419_1","trait","gender",48.2741470235107,0,0.5,"american"
"Q419_1","trait","gender",20.3722193537681,0,0.5,"american"
"Q419_1","trait","gender",39.6191313121512,1,0.75,"american"
"Q419_1","trait","gender",21.1789208902463,0,0.5,"american"
"Q419_1","trait","gender",28.8955877083111,-1,0.25,"american"
"Q419_1","trait","gender",24.6031844801277,0,0.5,"american"
"Q419_1","trait","gender",44.1260714109815,0,0.5,"american"
"Q419_1","trait","gender",10.658856751085,0,0.5,"american"
"Q419_1","trait","gender",18.690694542064,0,0.5,"american"
"Q419_1","trait","gender",20.7483141275002,0,0.5,"american"
"Q419_1","trait","gender",22.6054485485902,0,0.5,"american"
"Q420_1","trait","white",32.8707873266821,65,0.65,"american"
"Q420_1","trait","white",25.2463613318387,46,0.46,"american"
